hgnc_symbol	gene_biotype	ensembl_gene_id	ensembl_gene_id_version
CCDC85C	protein_coding	ENSG00000205476	ENSG00000205476.9
RARRES2P8	processed_pseudogene	ENSG00000259996	ENSG00000259996.1
FRG2HP	unprocessed_pseudogene	ENSG00000260846	ENSG00000260846.2
LINC00896	lncRNA	ENSG00000236499	ENSG00000236499.2
RTN4R	protein_coding	ENSG00000040608	ENSG00000040608.14
	processed_pseudogene	ENSG00000261111	ENSG00000261111.1
VPS13D	protein_coding	ENSG00000048707	ENSG00000048707.15
LINC02130	lncRNA	ENSG00000260009	ENSG00000260009.1
MVP	protein_coding	ENSG00000013364	ENSG00000013364.19
MIR1286	miRNA	ENSG00000221039	ENSG00000221039.3
	unprocessed_pseudogene	ENSG00000161132	ENSG00000161132.6
DGCR6L	protein_coding	ENSG00000128185	ENSG00000128185.10
PTPRG-AS1	lncRNA	ENSG00000241472	ENSG00000241472.7
LRFN4	protein_coding	ENSG00000173621	ENSG00000173621.9
	lncRNA	ENSG00000273343	ENSG00000273343.1
	lncRNA	ENSG00000273139	ENSG00000273139.1
RPL23AP82	transcribed_unprocessed_pseudogene	ENSG00000184319	ENSG00000184319.16
OTX2-AS1	lncRNA	ENSG00000248550	ENSG00000248550.4
MALAT1	lncRNA	ENSG00000251562	ENSG00000251562.8
	lncRNA	ENSG00000268199	ENSG00000268199.2
NEDD4L	protein_coding	ENSG00000049759	ENSG00000049759.20
BORCS8-MEF2B	protein_coding	ENSG00000064489	ENSG00000064489.23
	lncRNA	ENSG00000286648	ENSG00000286648.1
	lncRNA	ENSG00000253986	ENSG00000253986.1
MOK	protein_coding	ENSG00000080823	ENSG00000080823.23
KIAA0232	protein_coding	ENSG00000170871	ENSG00000170871.12
LINC01289	lncRNA	ENSG00000253734	ENSG00000253734.2
RABL2B	protein_coding	ENSG00000079974	ENSG00000079974.18
SCGB1D4	protein_coding	ENSG00000197745	ENSG00000197745.3
	lncRNA	ENSG00000286428	ENSG00000286428.1
EPHX2	protein_coding	ENSG00000120915	ENSG00000120915.14
RELA-DT	lncRNA	ENSG00000285533	ENSG00000285533.2
FAM166B	protein_coding	ENSG00000215187	ENSG00000215187.12
	processed_pseudogene	ENSG00000260472	ENSG00000260472.1
FRG2DP	transcribed_unprocessed_pseudogene	ENSG00000261711	ENSG00000261711.6
LMTK2	protein_coding	ENSG00000164715	ENSG00000164715.6
	lncRNA	ENSG00000286352	ENSG00000286352.1
	lncRNA	ENSG00000245482	ENSG00000245482.2
PABPC1P13	processed_pseudogene	ENSG00000260307	ENSG00000260307.2
TDGP1	processed_pseudogene	ENSG00000255725	ENSG00000255725.2
OXSR1	protein_coding	ENSG00000172939	ENSG00000172939.9
ALG10B	protein_coding	ENSG00000175548	ENSG00000175548.9
AGGF1P5	processed_pseudogene	ENSG00000260680	ENSG00000260680.1
CLNK	protein_coding	ENSG00000109684	ENSG00000109684.15
BCLAF1P2	processed_pseudogene	ENSG00000279800	ENSG00000279800.2
	unprocessed_pseudogene	ENSG00000261607	ENSG00000261607.1
	lncRNA	ENSG00000260611	ENSG00000260611.1
VN1R68P	processed_pseudogene	ENSG00000259979	ENSG00000259979.1
	lncRNA	ENSG00000271715	ENSG00000271715.1
DENND2B	protein_coding	ENSG00000166444	ENSG00000166444.19
	processed_pseudogene	ENSG00000248542	ENSG00000248542.2
	lncRNA	ENSG00000287199	ENSG00000287199.1
AGGF1P8	processed_pseudogene	ENSG00000261752	ENSG00000261752.1
	TEC	ENSG00000280016	ENSG00000280016.1
	lncRNA	ENSG00000261731	ENSG00000261731.2
	unprocessed_pseudogene	ENSG00000251549	ENSG00000251549.2
FBXL7	protein_coding	ENSG00000183580	ENSG00000183580.10
CLUHP3	transcribed_unprocessed_pseudogene	ENSG00000131797	ENSG00000131797.12
RPS23P5	processed_pseudogene	ENSG00000242608	ENSG00000242608.1
PMCHL1	transcribed_unprocessed_pseudogene	ENSG00000168967	ENSG00000168967.14
	lncRNA	ENSG00000245975	ENSG00000245975.2
ACTC1	protein_coding	ENSG00000159251	ENSG00000159251.8
	unprocessed_pseudogene	ENSG00000256986	ENSG00000256986.2
KLRF2	protein_coding	ENSG00000256797	ENSG00000256797.1
	lncRNA	ENSG00000286751	ENSG00000286751.1
LINC01410	lncRNA	ENSG00000238113	ENSG00000238113.7
	lncRNA	ENSG00000248973	ENSG00000248973.3
RASAL3	protein_coding	ENSG00000105122	ENSG00000105122.13
ZNF733P	transcribed_unprocessed_pseudogene	ENSG00000185037	ENSG00000185037.9
	TEC	ENSG00000280054	ENSG00000280054.1
CISD3	protein_coding	ENSG00000277972	ENSG00000277972.2
	lncRNA	ENSG00000253766	ENSG00000253766.1
COX14	protein_coding	ENSG00000178449	ENSG00000178449.9
LINC02220	lncRNA	ENSG00000248457	ENSG00000248457.1
NME2P3	processed_pseudogene	ENSG00000229338	ENSG00000229338.1
	lncRNA	ENSG00000236896	ENSG00000236896.1
	lncRNA	ENSG00000260454	ENSG00000260454.2
DPY19L2P4	transcribed_unprocessed_pseudogene	ENSG00000235436	ENSG00000235436.10
HPRT1P2	processed_pseudogene	ENSG00000250587	ENSG00000250587.2
MARK2P5	processed_pseudogene	ENSG00000248834	ENSG00000248834.2
FKBP9P1	transcribed_unprocessed_pseudogene	ENSG00000176826	ENSG00000176826.15
	lncRNA	ENSG00000287233	ENSG00000287233.1
CNTNAP3P1	unprocessed_pseudogene	ENSG00000273509	ENSG00000273509.1
IGHV3OR16-12	IG_V_gene	ENSG00000270467	ENSG00000270467.1
	TEC	ENSG00000279125	ENSG00000279125.1
IGHV3OR16-17	protein_coding	ENSG00000259680	ENSG00000259680.5
FTH1P10	transcribed_processed_pseudogene	ENSG00000223361	ENSG00000223361.5
	TEC	ENSG00000279875	ENSG00000279875.1
CKS2	protein_coding	ENSG00000123975	ENSG00000123975.5
LINC02450	lncRNA	ENSG00000257114	ENSG00000257114.3
	lncRNA	ENSG00000260626	ENSG00000260626.1
MRPL45	protein_coding	ENSG00000278845	ENSG00000278845.5
LINC02226	lncRNA	ENSG00000245729	ENSG00000245729.2
	lncRNA	ENSG00000261009	ENSG00000261009.1
SPANXA2	protein_coding	ENSG00000203926	ENSG00000203926.5
DUX4L46	processed_pseudogene	ENSG00000259987	ENSG00000259987.1
	processed_pseudogene	ENSG00000260522	ENSG00000260522.1
	unitary_pseudogene	ENSG00000284682	ENSG00000284682.1
	lncRNA	ENSG00000286556	ENSG00000286556.1
ACTBP7	processed_pseudogene	ENSG00000185607	ENSG00000185607.5
	lncRNA	ENSG00000256226	ENSG00000256226.1
	processed_pseudogene	ENSG00000250332	ENSG00000250332.1
	processed_pseudogene	ENSG00000259397	ENSG00000259397.3
IGHV3OR16-13	IG_V_gene	ENSG00000271178	ENSG00000271178.1
HOXC-AS2	lncRNA	ENSG00000250133	ENSG00000250133.2
	lncRNA	ENSG00000233817	ENSG00000233817.1
ANKRD33B	protein_coding	ENSG00000164236	ENSG00000164236.12
	unprocessed_pseudogene	ENSG00000270926	ENSG00000270926.1
RNU6-114P	snRNA	ENSG00000207435	ENSG00000207435.1
MIR4767	miRNA	ENSG00000264268	ENSG00000264268.1
	unprocessed_pseudogene	ENSG00000282924	ENSG00000282924.1
MIR651	miRNA	ENSG00000207628	ENSG00000207628.3
FERMT1	protein_coding	ENSG00000101311	ENSG00000101311.16
	snoRNA	ENSG00000252291	ENSG00000252291.1
	misc_RNA	ENSG00000275287	ENSG00000275287.5
ERP44	protein_coding	ENSG00000023318	ENSG00000023318.8
	misc_RNA	ENSG00000206844	ENSG00000206844.1
CCNT1	protein_coding	ENSG00000129315	ENSG00000129315.11
SNORA48B	snoRNA	ENSG00000212214	ENSG00000212214.1
	misc_RNA	ENSG00000207151	ENSG00000207151.1
	misc_RNA	ENSG00000207320	ENSG00000207320.1
MLXIPL	protein_coding	ENSG00000009950	ENSG00000009950.16
	snoRNA	ENSG00000201660	ENSG00000201660.1
MIR4770	miRNA	ENSG00000265284	ENSG00000265284.1
MIR548AX	miRNA	ENSG00000263652	ENSG00000263652.1
RNU6-146P	snRNA	ENSG00000207332	ENSG00000207332.1
RN7SL658P	misc_RNA	ENSG00000239333	ENSG00000239333.3
	protein_coding	ENSG00000258461	ENSG00000258461.5
	misc_RNA	ENSG00000278218	ENSG00000278218.1
	misc_RNA	ENSG00000199410	ENSG00000199410.1
	misc_RNA	ENSG00000207025	ENSG00000207025.1
MIR548AM	miRNA	ENSG00000265144	ENSG00000265144.1
	snoRNA	ENSG00000201467	ENSG00000201467.1
RNA5SP499	rRNA_pseudogene	ENSG00000200852	ENSG00000200852.1
MIR3690	miRNA	ENSG00000265658	ENSG00000265658.6
RNA5SP498	rRNA_pseudogene	ENSG00000223274	ENSG00000223274.6
	snoRNA	ENSG00000201882	ENSG00000201882.1
	snoRNA	ENSG00000201592	ENSG00000201592.1
RN7SKP183	misc_RNA	ENSG00000252978	ENSG00000252978.1
	transcribed_processed_pseudogene	ENSG00000261127	ENSG00000261127.2
RNU4-6P	snRNA	ENSG00000222736	ENSG00000222736.1
	misc_RNA	ENSG00000206663	ENSG00000206663.1
RN7SL48P	misc_RNA	ENSG00000266710	ENSG00000266710.2
RNU6-133P	snRNA	ENSG00000206716	ENSG00000206716.1
NAMPTP3	processed_pseudogene	ENSG00000261053	ENSG00000261053.1
MIR23C	miRNA	ENSG00000264566	ENSG00000264566.3
	misc_RNA	ENSG00000252486	ENSG00000252486.1
	processed_pseudogene	ENSG00000260610	ENSG00000260610.1
	snoRNA	ENSG00000201666	ENSG00000201666.1
	processed_pseudogene	ENSG00000260414	ENSG00000260414.1
RNA5SP500	rRNA_pseudogene	ENSG00000201356	ENSG00000201356.1
BMS1P8	transcribed_unprocessed_pseudogene	ENSG00000260518	ENSG00000260518.2
MIR4666B	miRNA	ENSG00000264090	ENSG00000264090.1
RNU7-56P	snRNA	ENSG00000238709	ENSG00000238709.1
SPEF2	protein_coding	ENSG00000152582	ENSG00000152582.14
MIR6134	miRNA	ENSG00000277569	ENSG00000277569.1
	misc_RNA	ENSG00000202144	ENSG00000202144.1
	snoRNA	ENSG00000201407	ENSG00000201407.1
	lncRNA	ENSG00000236377	ENSG00000236377.1
	lncRNA	ENSG00000261445	ENSG00000261445.1
	misc_RNA	ENSG00000206639	ENSG00000206639.1
UBL5P2	processed_pseudogene	ENSG00000266282	ENSG00000266282.1
RNU6-641P	snRNA	ENSG00000206733	ENSG00000206733.1
	transcribed_unprocessed_pseudogene	ENSG00000286030	ENSG00000286030.2
RNU6-591P	snRNA	ENSG00000207122	ENSG00000207122.1
	processed_pseudogene	ENSG00000270402	ENSG00000270402.1
	unprocessed_pseudogene	ENSG00000270401	ENSG00000270401.1
RNU6-49P	snRNA	ENSG00000206983	ENSG00000206983.1
MIR548AJ2	miRNA	ENSG00000221466	ENSG00000221466.2
	snoRNA	ENSG00000252050	ENSG00000252050.1
	unprocessed_pseudogene	ENSG00000280171	ENSG00000280171.1
RNU7-7P	snRNA	ENSG00000238606	ENSG00000238606.1
	lncRNA	ENSG00000278097	ENSG00000278097.1
	unprocessed_pseudogene	ENSG00000259990	ENSG00000259990.2
RNU6-1087P	snRNA	ENSG00000252411	ENSG00000252411.1
	processed_pseudogene	ENSG00000267693	ENSG00000267693.1
	processed_pseudogene	ENSG00000267554	ENSG00000267554.1
RN7SL732P	misc_RNA	ENSG00000264618	ENSG00000264618.2
CDK2AP2P3	processed_pseudogene	ENSG00000226020	ENSG00000226020.4
	lncRNA	ENSG00000285483	ENSG00000285483.1
MIR3937	miRNA	ENSG00000263730	ENSG00000263730.1
	processed_pseudogene	ENSG00000229830	ENSG00000229830.1
RNU7-164P	snRNA	ENSG00000238730	ENSG00000238730.1
	processed_pseudogene	ENSG00000263729	ENSG00000263729.1
UBE2MP1	processed_pseudogene	ENSG00000261461	ENSG00000261461.1
STX17-AS1	lncRNA	ENSG00000255145	ENSG00000255145.3
RNU6-1124P	snRNA	ENSG00000206896	ENSG00000206896.1
ARGFXP2	processed_pseudogene	ENSG00000265293	ENSG00000265293.2
ZNF85	protein_coding	ENSG00000105750	ENSG00000105750.15
RNU6-630P	snRNA	ENSG00000212560	ENSG00000212560.1
	snoRNA	ENSG00000212347	ENSG00000212347.2
MIR221	miRNA	ENSG00000207870	ENSG00000207870.1
RNU6-50P	snRNA	ENSG00000199226	ENSG00000199226.1
	lncRNA	ENSG00000274767	ENSG00000274767.1
	lncRNA	ENSG00000260141	ENSG00000260141.1
RNU6-1189P	snRNA	ENSG00000206685	ENSG00000206685.1
FKBP4P8	processed_pseudogene	ENSG00000276457	ENSG00000276457.1
MIR222	miRNA	ENSG00000207725	ENSG00000207725.3
	processed_pseudogene	ENSG00000287800	ENSG00000287800.1
	misc_RNA	ENSG00000277721	ENSG00000277721.1
	misc_RNA	ENSG00000278838	ENSG00000278838.1
TRMO	protein_coding	ENSG00000136932	ENSG00000136932.14
	misc_RNA	ENSG00000200702	ENSG00000200702.1
	processed_pseudogene	ENSG00000260308	ENSG00000260308.1
RNU12-2P	snRNA	ENSG00000201659	ENSG00000201659.1
	lncRNA	ENSG00000276170	ENSG00000276170.4
RNU6-1056P	snRNA	ENSG00000206723	ENSG00000206723.1
	lncRNA	ENSG00000260958	ENSG00000260958.3
RNU6-722P	snRNA	ENSG00000223309	ENSG00000223309.1
	misc_RNA	ENSG00000202495	ENSG00000202495.1
RNU6-29P	snRNA	ENSG00000207367	ENSG00000207367.1
SNORA11	snoRNA	ENSG00000221716	ENSG00000221716.1
RNU6-421P	snRNA	ENSG00000201341	ENSG00000201341.1
RARRES2P5	processed_pseudogene	ENSG00000260967	ENSG00000260967.1
MIR532	miRNA	ENSG00000207758	ENSG00000207758.1
MIR188	miRNA	ENSG00000207768	ENSG00000207768.3
MIR500A	miRNA	ENSG00000207785	ENSG00000207785.1
MIR362	miRNA	ENSG00000208015	ENSG00000208015.1
	lncRNA	ENSG00000262038	ENSG00000262038.1
MIR501	miRNA	ENSG00000211538	ENSG00000211538.1
MIR500B	miRNA	ENSG00000239057	ENSG00000239057.2
MIR660	miRNA	ENSG00000207970	ENSG00000207970.3
MIR502	miRNA	ENSG00000272080	ENSG00000272080.1
RNU6-434P	snRNA	ENSG00000207104	ENSG00000207104.1
SNORA11G	snoRNA	ENSG00000221750	ENSG00000221750.1
MTND4LP25	processed_pseudogene	ENSG00000260067	ENSG00000260067.1
RNA5SP505	rRNA_pseudogene	ENSG00000201618	ENSG00000201618.1
RN7SL799P	misc_RNA	ENSG00000244006	ENSG00000244006.3
LRPAP1	protein_coding	ENSG00000163956	ENSG00000163956.13
MIR223	miRNA	ENSG00000284567	ENSG00000284567.1
RN7SL581P	misc_RNA	ENSG00000242657	ENSG00000242657.3
NLK	protein_coding	ENSG00000087095	ENSG00000087095.13
RNY4P23	misc_RNA	ENSG00000201377	ENSG00000201377.1
	snoRNA	ENSG00000277492	ENSG00000277492.1
SNORD3E	snoRNA	ENSG00000280704	ENSG00000280704.1
ORC6	protein_coding	ENSG00000091651	ENSG00000091651.9
	snoRNA	ENSG00000212434	ENSG00000212434.2
MIR8088	miRNA	ENSG00000275335	ENSG00000275335.1
MIR4536-2	miRNA	ENSG00000266328	ENSG00000266328.3
MIR676	miRNA	ENSG00000211991	ENSG00000211991.4
RNU6-1078P	snRNA	ENSG00000201392	ENSG00000201392.1
RNU6-562P	snRNA	ENSG00000199601	ENSG00000199601.1
RNU4-81P	snRNA	ENSG00000200431	ENSG00000200431.1
MIR4536-1	miRNA	ENSG00000283334	ENSG00000283334.1
RNA5SP509	rRNA_pseudogene	ENSG00000201447	ENSG00000201447.1
	rRNA_pseudogene	ENSG00000285776	ENSG00000285776.1
	snoRNA	ENSG00000273788	ENSG00000273788.1
RNU6-1044P	snRNA	ENSG00000207486	ENSG00000207486.1
MIR4328	miRNA	ENSG00000283622	ENSG00000283622.1
	snoRNA	ENSG00000202183	ENSG00000202183.1
RN7SL388P	misc_RNA	ENSG00000239577	ENSG00000239577.3
RNA5SP507	rRNA_pseudogene	ENSG00000200473	ENSG00000200473.1
	misc_RNA	ENSG00000238926	ENSG00000238926.1
	processed_pseudogene	ENSG00000256774	ENSG00000256774.1
RNU2-68P	snRNA	ENSG00000222810	ENSG00000222810.1
RN7SL790P	misc_RNA	ENSG00000239745	ENSG00000239745.3
MIR1321	miRNA	ENSG00000283435	ENSG00000283435.1
MIR548I4	miRNA	ENSG00000221494	ENSG00000221494.1
	misc_RNA	ENSG00000200635	ENSG00000200635.1
RNU6-867P	snRNA	ENSG00000201826	ENSG00000201826.1
RNU2-26P	snRNA	ENSG00000222440	ENSG00000222440.1
	processed_pseudogene	ENSG00000278068	ENSG00000278068.1
RPS2P35	processed_pseudogene	ENSG00000238172	ENSG00000238172.2
MAMDC2	protein_coding	ENSG00000165072	ENSG00000165072.10
RNU6-332P	snRNA	ENSG00000212495	ENSG00000212495.1
	snoRNA	ENSG00000200422	ENSG00000200422.1
	snRNA	ENSG00000277717	ENSG00000277717.1
RNA5SP510	rRNA_pseudogene	ENSG00000201567	ENSG00000201567.1
MIR548M	miRNA	ENSG00000221187	ENSG00000221187.1
	snoRNA	ENSG00000252016	ENSG00000252016.1
MIR384	miRNA	ENSG00000283242	ENSG00000283242.1
MIR325	miRNA	ENSG00000207995	ENSG00000207995.1
RNU1-112P	snRNA	ENSG00000201271	ENSG00000201271.1
VENTXP7	processed_pseudogene	ENSG00000236380	ENSG00000236380.5
RNA5SP508	rRNA_pseudogene	ENSG00000223259	ENSG00000223259.1
MIR361	miRNA	ENSG00000199051	ENSG00000199051.3
	misc_RNA	ENSG00000202410	ENSG00000202410.1
	misc_RNA	ENSG00000199567	ENSG00000199567.1
RNU6-974P	snRNA	ENSG00000206826	ENSG00000206826.1
RNU6-995P	snRNA	ENSG00000212546	ENSG00000212546.1
RNU6-345P	snRNA	ENSG00000252810	ENSG00000252810.1
RNU6-493P	snRNA	ENSG00000212623	ENSG00000212623.1
CAMKV	protein_coding	ENSG00000164076	ENSG00000164076.17
DDX11	protein_coding	ENSG00000013573	ENSG00000013573.17
RNU6-394P	snRNA	ENSG00000222667	ENSG00000222667.1
	snoRNA	ENSG00000252296	ENSG00000252296.2
ZNF66	protein_coding	ENSG00000160229	ENSG00000160229.13
RN7SKP194	misc_RNA	ENSG00000223260	ENSG00000223260.1
RNU6-30P	snRNA	ENSG00000207291	ENSG00000207291.1
	misc_RNA	ENSG00000202407	ENSG00000202407.1
	snoRNA	ENSG00000239008	ENSG00000239008.1
RNU6-309P	snRNA	ENSG00000201443	ENSG00000201443.1
MIR374C	miRNA	ENSG00000283534	ENSG00000283534.1
	misc_RNA	ENSG00000207426	ENSG00000207426.1
RN7SL648P	misc_RNA	ENSG00000265727	ENSG00000265727.2
	misc_RNA	ENSG00000277900	ENSG00000277900.1
	misc_RNA	ENSG00000278421	ENSG00000278421.1
	miRNA	ENSG00000275110	ENSG00000275110.1
RNU6-648P	snRNA	ENSG00000222122	ENSG00000222122.1
	lncRNA	ENSG00000267383	ENSG00000267383.7
	misc_RNA	ENSG00000199832	ENSG00000199832.1
	misc_RNA	ENSG00000273974	ENSG00000273974.1
RN7SL74P	misc_RNA	ENSG00000265260	ENSG00000265260.2
	misc_RNA	ENSG00000275254	ENSG00000275254.1
	misc_RNA	ENSG00000275625	ENSG00000275625.1
MIR545	miRNA	ENSG00000207820	ENSG00000207820.1
RNA5SP512	rRNA_pseudogene	ENSG00000201420	ENSG00000201420.1
SNORA35B	snoRNA	ENSG00000271907	ENSG00000271907.1
MIR374A	miRNA	ENSG00000199168	ENSG00000199168.3
	misc_RNA	ENSG00000212241	ENSG00000212241.1
	misc_RNA	ENSG00000277922	ENSG00000277922.1
SNORA35	snoRNA	ENSG00000208839	ENSG00000208839.1
MIR421	miRNA	ENSG00000202566	ENSG00000202566.4
MIR764	miRNA	ENSG00000212100	ENSG00000212100.2
MIR1912	miRNA	ENSG00000222321	ENSG00000222321.1
MIR374B	miRNA	ENSG00000212027	ENSG00000212027.3
MIR1264	miRNA	ENSG00000276158	ENSG00000276158.2
MIR1298	miRNA	ENSG00000221710	ENSG00000221710.1
MIR1911	miRNA	ENSG00000222715	ENSG00000222715.1
	snoRNA	ENSG00000252441	ENSG00000252441.1
MIR448	miRNA	ENSG00000199001	ENSG00000199001.1
	snoRNA	ENSG00000239182	ENSG00000239182.1
C19orf44	protein_coding	ENSG00000105072	ENSG00000105072.9
RNU6-555P	snRNA	ENSG00000207515	ENSG00000207515.1
	misc_RNA	ENSG00000207363	ENSG00000207363.1
RN7SL379P	misc_RNA	ENSG00000242998	ENSG00000242998.3
RNY3P16	misc_RNA	ENSG00000252147	ENSG00000252147.1
GDAP1L1	protein_coding	ENSG00000124194	ENSG00000124194.17
RNU6-1323P	snRNA	ENSG00000206752	ENSG00000206752.1
MIR548AN	miRNA	ENSG00000263515	ENSG00000263515.1
RNU6-154P	snRNA	ENSG00000207033	ENSG00000207033.1
	misc_RNA	ENSG00000200436	ENSG00000200436.1
RNA5SP513	rRNA_pseudogene	ENSG00000201518	ENSG00000201518.1
RNU6-207P	snRNA	ENSG00000206864	ENSG00000206864.1
MIR3672	miRNA	ENSG00000265456	ENSG00000265456.1
	misc_RNA	ENSG00000206862	ENSG00000206862.1
RNU6-587P	snRNA	ENSG00000212584	ENSG00000212584.1
	snoRNA	ENSG00000212321	ENSG00000212321.2
TREML4	protein_coding	ENSG00000188056	ENSG00000188056.12
RNU6-1015P	snRNA	ENSG00000252930	ENSG00000252930.1
	snoRNA	ENSG00000252693	ENSG00000252693.1
RNU1-67P	snRNA	ENSG00000207175	ENSG00000207175.1
LRRC37B	protein_coding	ENSG00000185158	ENSG00000185158.12
	snoRNA	ENSG00000252170	ENSG00000252170.2
RN7SL118P	misc_RNA	ENSG00000266420	ENSG00000266420.2
RNU6-122P	snRNA	ENSG00000252627	ENSG00000252627.1
	misc_RNA	ENSG00000200572	ENSG00000200572.1
	misc_RNA	ENSG00000199705	ENSG00000199705.1
RNU6-98P	snRNA	ENSG00000206900	ENSG00000206900.1
	snoRNA	ENSG00000207100	ENSG00000207100.1
MIR450A2	miRNA	ENSG00000207755	ENSG00000207755.3
	misc_RNA	ENSG00000200291	ENSG00000200291.1
RNU7-69P	snRNA	ENSG00000252178	ENSG00000252178.1
MIR450B	miRNA	ENSG00000216001	ENSG00000216001.3
TP53TG3	protein_coding	ENSG00000183632	ENSG00000183632.14
RNU6-616P	snRNA	ENSG00000207081	ENSG00000207081.1
RNU6-203P	snRNA	ENSG00000206765	ENSG00000206765.1
MIR450A1	miRNA	ENSG00000199132	ENSG00000199132.1
MIR1277	miRNA	ENSG00000221463	ENSG00000221463.3
MIR542	miRNA	ENSG00000207784	ENSG00000207784.3
RN7SKP31	misc_RNA	ENSG00000252163	ENSG00000252163.1
IFNWP18	unprocessed_pseudogene	ENSG00000223684	ENSG00000223684.1
MIR503	miRNA	ENSG00000208005	ENSG00000208005.1
MIR424	miRNA	ENSG00000284231	ENSG00000284231.1
MIR504	miRNA	ENSG00000207800	ENSG00000207800.3
RNU4-44P	snRNA	ENSG00000199920	ENSG00000199920.1
RAD23B	protein_coding	ENSG00000119318	ENSG00000119318.13
MIR934	miRNA	ENSG00000216060	ENSG00000216060.1
RNU6-3P	snRNA	ENSG00000207041	ENSG00000207041.1
RN7SKP149	misc_RNA	ENSG00000199878	ENSG00000199878.1
	pseudogene	ENSG00000280249	ENSG00000280249.1
RNA5SP517	rRNA_pseudogene	ENSG00000201594	ENSG00000201594.1
RNA5SP516	rRNA_pseudogene	ENSG00000201000	ENSG00000201000.1
MIR514A2	miRNA	ENSG00000207866	ENSG00000207866.1
MIR514A1	miRNA	ENSG00000207868	ENSG00000207868.1
RN7SKP81	misc_RNA	ENSG00000202473	ENSG00000202473.1
RN7SL190P	misc_RNA	ENSG00000264933	ENSG00000264933.2
MIR320D2	miRNA	ENSG00000221081	ENSG00000221081.1
RN7SL325P	misc_RNA	ENSG00000239579	ENSG00000239579.3
	misc_RNA	ENSG00000274086	ENSG00000274086.1
MIR363	miRNA	ENSG00000284499	ENSG00000284499.1
MIR892C	miRNA	ENSG00000252219	ENSG00000252219.2
RNA5SP524	rRNA	ENSG00000201285	ENSG00000201285.1
RNU6-320P	snRNA	ENSG00000252320	ENSG00000252320.1
MIR514A3	miRNA	ENSG00000207867	ENSG00000207867.1
MIR92A2	miRNA	ENSG00000284538	ENSG00000284538.1
MIR890	miRNA	ENSG00000216075	ENSG00000216075.1
RNU6-985P	snRNA	ENSG00000222114	ENSG00000222114.1
MIR19B2	miRNA	ENSG00000284107	ENSG00000284107.1
MIR888	miRNA	ENSG00000216005	ENSG00000216005.1
MIR892A	miRNA	ENSG00000215943	ENSG00000215943.1
MIR20B	miRNA	ENSG00000284043	ENSG00000284043.1
MIR892B	miRNA	ENSG00000216098	ENSG00000216098.1
MIR18B	miRNA	ENSG00000283931	ENSG00000283931.1
MIR891B	miRNA	ENSG00000216064	ENSG00000216064.1
MIR106A	miRNA	ENSG00000284157	ENSG00000284157.1
RNU1-115P	snRNA	ENSG00000202199	ENSG00000202199.1
MIR510	miRNA	ENSG00000207641	ENSG00000207641.1
RNU6-383P	snRNA	ENSG00000222796	ENSG00000222796.1
MIR891A	miRNA	ENSG00000216056	ENSG00000216056.1
	misc_RNA	ENSG00000199424	ENSG00000199424.1
MIR4330	miRNA	ENSG00000265789	ENSG00000265789.1
	misc_RNA	ENSG00000278724	ENSG00000278724.1
RN7SKP267	misc_RNA	ENSG00000222313	ENSG00000222313.1
RN7SKP189	misc_RNA	ENSG00000201912	ENSG00000201912.1
RNA5SP525	rRNA	ENSG00000212595	ENSG00000212595.1
RNU6-764P	snRNA	ENSG00000252205	ENSG00000252205.1
MIR513C	miRNA	ENSG00000216171	ENSG00000216171.1
MIR513B	miRNA	ENSG00000207871	ENSG00000207871.2
	processed_pseudogene	ENSG00000262885	ENSG00000262885.1
MIR105-1	miRNA	ENSG00000207957	ENSG00000207957.1
MIR513A1	miRNA	ENSG00000207873	ENSG00000207873.1
MIR767	miRNA	ENSG00000211583	ENSG00000211583.3
MIR513A2	miRNA	ENSG00000207984	ENSG00000207984.1
RAB43P1	processed_pseudogene	ENSG00000259856	ENSG00000259856.1
MIR105-2	miRNA	ENSG00000207818	ENSG00000207818.1
MIR506	miRNA	ENSG00000207731	ENSG00000207731.1
MIR507	miRNA	ENSG00000207969	ENSG00000207969.1
MIR508	miRNA	ENSG00000207589	ENSG00000207589.1
	lncRNA	ENSG00000179755	ENSG00000179755.3
MIR514B	miRNA	ENSG00000252583	ENSG00000252583.2
MIR509-2	miRNA	ENSG00000212013	ENSG00000212013.1
MIR509-3	miRNA	ENSG00000212014	ENSG00000212014.1
BAK1	protein_coding	ENSG00000030110	ENSG00000030110.13
MIR509-1	miRNA	ENSG00000208000	ENSG00000208000.1
RNU6-382P	snRNA	ENSG00000202051	ENSG00000202051.1
NICN2P	processed_pseudogene	ENSG00000237623	ENSG00000237623.1
	processed_pseudogene	ENSG00000261391	ENSG00000261391.1
RN7SL785P	misc_RNA	ENSG00000266158	ENSG00000266158.2
IGHV2OR16-5	IG_V_gene	ENSG00000259303	ENSG00000259303.5
	lncRNA	ENSG00000203402	ENSG00000203402.2
SNORA11C	snoRNA	ENSG00000221459	ENSG00000221459.1
	processed_pseudogene	ENSG00000232009	ENSG00000232009.1
NPM1P49	processed_pseudogene	ENSG00000226556	ENSG00000226556.2
	misc_RNA	ENSG00000277605	ENSG00000277605.1
LINC01560	lncRNA	ENSG00000196741	ENSG00000196741.5
NUS1P1	processed_pseudogene	ENSG00000235636	ENSG00000235636.1
	processed_pseudogene	ENSG00000228053	ENSG00000228053.1
	lncRNA	ENSG00000259810	ENSG00000259810.2
